code,disciplines
1546687,Taekwondo
1546688,Taekwondo
1546696,Taekwondo
1546697,Taekwondo
1546749,Boxing
1546985,Taekwondo
1547004,Diving
1547098,Swimming
1547119,Sailing
1547131,Swimming
1547690,Table Tennis
1547764,Athletics
1547788,Athletics
1547814,Athletics
1547863,Rowing
1547865,Rowing
1547866,Rowing
1547870,Rowing
1547871,Rowing
1547873,Rowing
1547875,Rowing
1547876,Rowing
1547877,Rowing
1547891,Rowing
1547892,Rowing
1547893,Rowing
1547894,Rowing
1547895,Rowing
1547896,Rowing
1547897,Rowing
1547898,Rowing
1547899,Rowing
1547901,Rowing
1547902,Rowing
1547905,Rowing
1547906,Rowing
1547910,Rowing
1547911,Rowing
1547912,Rowing
1547913,Rowing
1547914,Rowing
1548262,Athletics
1548337,Athletics
1548352,Athletics
1548381,Taekwondo
1548401,Taekwondo
1548402,Swimming
1548409,Swimming
1548487,Equestrian
1548514,Athletics
1548516,Athletics
1548527,Athletics
1548538,Cycling Road
1548543,Athletics
1548804,Judo
1548817,Judo
1548824,Judo
1548829,Judo
1548845,Athletics
1548852,Rowing
1548857,Wrestling
1548868,Canoe Sprint
1548871,Canoe Sprint
1548928,Judo
1548933,Rhythmic Gymnastics
1548934,Judo
1548935,Judo
1548941,Judo
1548948,Rhythmic Gymnastics
1548949,Cycling Road
1548954,Judo
1548958,Cycling BMX Racing
1548976,Rhythmic Gymnastics
1548985,Rhythmic Gymnastics
1548999,Rhythmic Gymnastics
1549016,Rhythmic Gymnastics
1549023,Rhythmic Gymnastics
1549030,Shooting
1549041,Triathlon
1549335,Cycling Road
1549386,Shooting
1549446,Beach Volleyball
1549548,Beach Volleyball
1549970,Swimming
1549971,Swimming
1550000,Golf
1550005,Table Tennis
1550006,Table Tennis
1550011,Table Tennis
1550025,Basketball
1550027,Basketball
1550028,Basketball
1550031,Basketball
1550032,Basketball
1550035,Basketball
1550037,Archery
1550042,Basketball
1550045,Basketball
1550051,Basketball
1550067,Sailing
1550072,Tennis
1550074,Tennis
1550075,Tennis
1550088,Judo
1550089,Judo
1550108,Athletics
1550116,Wrestling
1550119,Wrestling
1550148,Weightlifting
1550150,Badminton
1550154,Weightlifting
1550162,Judo
1550164,Judo
1550167,Judo
1550168,Judo
1550169,Judo
1550170,Artistic Gymnastics
1550174,Artistic Gymnastics
1550176,Artistic Gymnastics
1550184,Boxing
1550186,Artistic Gymnastics
1550192,Artistic Gymnastics
1550218,Taekwondo
1550219,Athletics
1550221,Swimming
1550227,Cycling Track
1550228,Cycling Track
1550233,Boxing
1550250,Athletics
1550264,Artistic Gymnastics
1550271,Boxing
1550285,Rowing
1550289,Rowing
1550294,Rowing
1550295,Canoe Sprint
1550300,Canoe Sprint
1550303,Rowing
1550307,Canoe Sprint
1550309,Boxing
1550313,Boxing
1550324,Rowing
1550326,Boxing
1550327,Swimming
1550329,Rowing
1550384,Rowing
1550432,Boxing
1550437,Rowing
1550531,Rowing
1550542,Rowing
1550544,Modern Pentathlon
1550546,Modern Pentathlon
1550551,Modern Pentathlon
1550553,Modern Pentathlon
1550560,Rowing
1550630,Rowing
1550644,Rowing
1550661,Rowing
1550789,Rowing
1550806,Rowing
1550815,Boxing
1550831,Swimming
1550881,Fencing
1550974,Canoe Sprint
1550975,Canoe Slalom
1550977,Canoe Slalom
1550978,Canoe Slalom
1550980,Canoe Slalom
1551050,Artistic Gymnastics
1551051,Artistic Gymnastics
1551052,Artistic Gymnastics
1551057,Artistic Gymnastics
1551058,Artistic Gymnastics
1551061,Artistic Gymnastics
1551121,Wrestling
1551123,Wrestling
1551159,Athletics
1551169,Fencing
1551175,Rowing
1551177,Rowing
1551178,Rowing
1551180,Rowing
1551184,Rowing
1551186,Rowing
1551188,Rowing
1551190,Rowing
1551238,Rowing
1551246,Swimming
1551249,Boxing
1551270,Trampoline Gymnastics
1551283,Boxing
1551307,Weightlifting
1551316,Badminton
1551318,Boxing
1551324,Badminton
1551330,Badminton
1551347,Weightlifting
1551355,Weightlifting
1551387,Shooting
1551388,Shooting
1551390,Shooting
1551391,Shooting
