code,events
1538262,Women
1538263,Women
1538266,Women
1538274,Women
1538276,Women
1538277,Women
1538294,Women
1538295,Women
1538299,Women
1538304,Women
1538305,Women
1538363,Men
1538365,Men
1538366,Men
1538367,Men
1538370,Men
1538372,Men
1538375,Men
1538378,Men
1538379,Men
1538380,Men
1538386,Lightweight Women's Double Sculls
1538396,Lightweight Women's Double Sculls
1538415,Trap Men
1538421,10m Air Pistol Women
1538421,25m Pistol Women
1538436,10m Air Rifle Women
1538442,10m Air Rifle Women
1538449,Women's Individual
1538482,Women's Kayak Single
1538482,Women's Kayak Cross
1538488,Men -81 kg
1538504,Men's 100m
1538505,Women's 100m
1538505,Women's 200m
1538505,Women's 4 x 100m Relay
1538622,Lightweight Men's Double Sculls
1538627,Women's Single Sculls
1538632,Lightweight Men's Double Sculls
1538648,Men
1538648,Men's Vault
1538662,Women's Kayak Single 500m
1538729,Men
1538734,Men
1538737,Men
1538740,Men
1538741,Men
1538742,Men
1538800,Men's Kayak Single 1000m
1538830,Women's 100m Hurdles
1538875,Men
1538878,Men
1538893,Women's Shot Put
1538903,Men's Triple Jump
1538904,Women's 400m Hurdles
1538910,Women's Individual
1538934,Men's Discus Throw
1538935,Women's Hammer Throw
1538937,Women's Triple Jump
1538939,Women's Marathon
1538999,Women's Marathon
1539000,Women's 400m
1539008,Men's Javelin Throw
1539114,Men's Singles
1539123,Men's Doubles
1539125,Men's Doubles
1539131,Men's Shot Put
1539157,Women's Singles
1539180,Dressage Individual
1539183,Women's Doubles
1539188,Women's Doubles
1539303,Women's Long Jump
1539314,Women's 3000m Steeplechase
1539328,Women's High Jump
1539340,Women's Triple Jump
1539342,Men's Shot Put
1539412,Men's 50m Freestyle
1539497,Women's Marathon
1539505,Men's 100m
1539510,Women's 400m
1539530,Men's 400m Freestyle
1539532,Women's 100m Freestyle
1539540,Women's 100m
1539547,Men's 200m
1539548,Women's 4 x 100m Relay
1539607,25m Rapid Fire Pistol Men
1539611,50m Rifle 3 Positions Men
1539615,Skeet Men
1539628,25m Rapid Fire Pistol Men
1539636,10m Air Rifle Men
1539636,10m Air Rifle Mixed Team
1539643,10m Air Pistol Men
1539643,10m Air Pistol Mixed Team
1539683,Men -66 kg
1539720,10m Air Rifle Men
1539720,10m Air Rifle Mixed Team
1539747,50m Rifle 3 Positions Women
1539752,25m Pistol Women
1539754,10m Air Rifle Women
1539754,10m Air Rifle Mixed Team
1539757,Trap Women
1539767,10m Air Pistol Women
1539767,10m Air Pistol Mixed Team
1539849,Men's Singles
1539886,Men's Sabre Individual
1539948,Women's Singles
1539950,Men
1539951,Men
1539952,Men
1539954,Women's 66kg
1539959,Men's 3m Springboard
1539961,Women's 1500m
1539962,Men's 1500m
1539963,Women's Marathon
1539966,Women's 4 x 100m Freestyle Relay
1539966,Relay Only Athlete
1539968,Relay Only Athlete
1539969,Men's 10km
1539969,Men's 1500m Freestyle
1539969,Men's 800m Freestyle
1539971,Women's Road Race
1539974,Women's Madison
1539974,Women's Omnium
1539974,Women's Team Pursuit
1539976,Women's Team Pursuit
1539977,Women's Madison
1539977,Women's Omnium
1539977,Women's Team Pursuit
1539978,Women's Madison
1539978,Women's Team Pursuit
1539982,Women's Madison
1539982,Women's Team Pursuit
1539983,Men's Road Race
1539985,Women's Individual Stroke Play
1539986,Men
1539986,Men's Pommel Horse
1539990,Women's Pair
1539991,Women's Four
1539992,Women's Four
1539993,Lightweight Women's Double Sculls
1539998,Women's Pair
1540039,Men's Individual Stroke Play
1540108,Men
1540112,Men
1540120,Men
1540143,Men
1540144,Men
1540173,Women's Dinghy
1540175,Men
1540176,Women's Dinghy
1540177,Men
1540178,Men
1540179,Men
1540180,Men
1540181,Men
1540184,Women's 100m Freestyle
1540190,Women's 100m Backstroke
1540216,Women's Individual
1540226,Men's Individual
1540262,Men's Greco-Roman 130kg
1540263,Men's Greco-Roman 60kg
1540273,Women's Freestyle 53kg
1540275,Women's Freestyle 76kg
1540278,Women's Freestyle 62kg
1540305,Men's Freestyle 97kg
1540310,Men's 61kg
1540334,Men's +102kg
1540335,Men's 102kg
1540349,Men's 63.5kg
